photons,sbr,estimator,trials,detections_per_cycle,rmse_mm,inlier_rmse_mm,bias_mm,outlier_fraction,crb_mm
1,1.0,centroid,400,2e-06,nan,110.67704940412214,32.25888909565182,0.85,16.75588973978405
1,1.0,matched,400,2e-06,5008.194096480837,73.99523181821331,4.879771753682358,0.65,16.75588973978405
1,1.0,mle,400,2e-06,nan,73.74978765007884,5.736218892809605,0.65,16.75588973978405
2,1.0,centroid,400,4e-06,6619.480744274585,22.424498994442708,18.390862796786703,0.8,11.848203259815394
2,1.0,matched,400,4e-06,3659.812368012409,39.57456342785433,2.307009023315474,0.37250000000000005,11.848203259815394
2,1.0,mle,400,4e-06,3681.848763813561,39.64518901211471,2.4364757213958192,0.37250000000000005,11.848203259815394
5,1.0,centroid,400,1e-05,5280.722120557871,22.290882181533124,19.558338141247987,0.39249999999999996,7.493461696329679
5,1.0,matched,400,1e-05,1360.6471251180747,31.295004950126895,4.8339548806900305,0.07250000000000001,7.493461696329679
5,1.0,mle,400,1e-05,1311.1997328507293,30.058644093532504,3.326673481378602,0.0675,7.493461696329679
10,1.0,centroid,400,2e-05,2346.142192117975,21.044965489753114,19.63804725195474,0.09250000000000003,5.298677580036366
10,1.0,matched,400,2e-05,414.45444130770784,16.582148403790068,0.44912236497772395,0.0050000000000000044,5.298677580036366
10,1.0,mle,400,2e-05,414.10328776854146,5.981201532579631,0.5551202460066512,0.0050000000000000044,5.298677580036366
22,1.0,centroid,400,4.4e-05,20.03761023842528,20.03761023842528,19.340445370829336,0.0,3.572367695697584
22,1.0,matched,400,4.4e-05,4.562211659083141,4.562211659083141,0.1615358828101771,0.0,3.572367695697584
22,1.0,mle,400,4.4e-05,3.853488881799308,3.853488881799308,0.011710412029404576,0.0,3.572367695697584
46,1.0,centroid,400,9.2e-05,19.940782395108663,19.940782395108663,19.67164429135464,0.0,2.470521160349532
46,1.0,matched,400,9.2e-05,3.045070576286729,3.045070576286729,0.3000523213283084,0.0,2.470521160349532
46,1.0,mle,400,9.2e-05,2.6185070896337392,2.6185070896337392,0.2507172308881407,0.0,2.470521160349532
100,1.0,centroid,400,0.00019999999999999998,19.65970807018907,19.65970807018907,19.540414891252954,0.0,1.675588973978406
100,1.0,matched,400,0.00019999999999999998,1.9935355810619926,1.9935355810619926,0.004958243357016362,0.0,1.675588973978406
100,1.0,mle,400,0.00019999999999999998,1.6010666683645425,1.6010666683645425,0.037410827243613005,0.0,1.675588973978406
215,1.0,centroid,400,0.00043,19.662873936068625,19.662873936068625,19.601065322634025,0.0,1.142742195532411
215,1.0,matched,400,0.00043,1.4011181377829471,1.4011181377829471,0.04470457299350622,0.0,1.142742195532411
215,1.0,mle,400,0.00043,1.1888349839407086,1.1888349839407086,0.05529286995856676,0.0,1.142742195532411
464,1.0,centroid,400,0.000928,19.644560379807707,19.644560379807707,19.615101733036035,0.0,0.7778726529216486
464,1.0,matched,400,0.000928,0.9946661762885094,0.9946661762885094,0.03810948796257683,0.0,0.7778726529216486
464,1.0,mle,400,0.000928,0.8028739164680868,0.8028739164680868,0.03369018272180359,0.0,0.7778726529216486
1000,1.0,centroid,400,0.002,19.571373154179927,19.571373154179927,19.557942487190424,0.0,0.5298677580036368
1000,1.0,matched,400,0.002,0.6767773233511756,0.6767773233511756,-0.02070227513898897,0.0,0.5298677580036368
1000,1.0,mle,400,0.002,0.5337909423645499,0.5337909423645499,-0.004461805175335099,0.0,0.5298677580036368
2154,1.0,centroid,400,0.004307999999999999,19.567148658681617,19.567148658681617,19.561510329022763,0.0,0.36103112478048244
2154,1.0,matched,400,0.004307999999999999,0.45178260104504314,0.45178260104504314,-0.01284389003263152,0.0,0.36103112478048244
2154,1.0,mle,400,0.004307999999999999,0.3545791822598978,0.3545791822598978,-0.01091869878761359,0.0,0.36103112478048244
4642,1.0,centroid,400,0.009284,19.571749446802073,19.571749446802073,19.56903180440524,0.0,0.24593193441718486
4642,1.0,matched,400,0.009284,0.3051515863651382,0.3051515863651382,0.0006323554946744717,0.0,0.24593193441718486
4642,1.0,mle,400,0.009284,0.238399162865284,0.238399162865284,-0.0018473471241353615,0.0,0.24593193441718486
10000,1.0,centroid,400,0.02,19.597316605156653,19.597316605156653,19.59601801874675,0.0,0.16755889739784055
10000,1.0,matched,400,0.02,0.210243204575704,0.210243204575704,0.0073752608424973295,0.0,0.16755889739784055
10000,1.0,mle,400,0.02,0.16634511148573547,0.16634511148573547,-0.0008707230556111604,0.0,0.16755889739784055
